[2026-01-29 12:20:39] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: ver - IP: ::1 - User: superadmin
[2026-01-29 12:20:43] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:20:47] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:21:02] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:21:06] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:21:06] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:21:14] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:21:19] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:21:21] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:15] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:18] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:20] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:28] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:25:31] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:34] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:34] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:41] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:25:44] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:49] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:49] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:25:54] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:25:56] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:05] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:05] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:08] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:11] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:26:22] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:25] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:26:29] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:26:36] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:27:45] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
