[2026-01-30 14:39:56] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:39:57] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:40:00] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:40:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:40:16] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:40:16] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:40:20] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:40:26] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:40:26] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:40:30] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:46:39] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:46:42] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:47:21] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:47:36] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:47:37] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:47:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:47:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:47:55] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:47:56] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:48:09] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:48:14] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:49:09] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:49:11] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:49:14] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:49:17] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:49:51] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:51:23] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:51:27] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:51:46] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:58:27] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:58:35] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
