[2026-02-03 16:02:13] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suscripciones - IP: ::1 - User: superadmin
[2026-02-03 16:02:16] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:02:44] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 16:02:46] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 16:02:54] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:02:57] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 16:03:15] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: resetPassword - IP: ::1 - User: superadmin
[2026-02-03 16:03:34] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:03:37] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:03:42] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:03:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:03:50] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:04:27] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:04:55] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:05:42] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:05:44] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:05:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:05:50] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:06:04] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: accesos - IP: ::1 - User: superadmin
[2026-02-03 16:06:07] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: cambios - IP: ::1 - User: superadmin
[2026-02-03 16:06:12] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: alertas - IP: ::1 - User: superadmin
[2026-02-03 16:06:15] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: configuracion - IP: ::1 - User: superadmin
[2026-02-03 16:08:08] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:08:11] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:29:44] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:29:49] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:29:51] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:29:54] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: accesos - IP: ::1 - User: superadmin
[2026-02-03 16:29:57] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: cambios - IP: ::1 - User: superadmin
[2026-02-03 16:30:00] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: alertas - IP: ::1 - User: superadmin
[2026-02-03 16:30:06] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: configuracion - IP: ::1 - User: superadmin
[2026-02-03 16:32:24] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: configuracion - IP: ::1 - User: superadmin
[2026-02-03 16:32:26] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: alertas - IP: ::1 - User: superadmin
[2026-02-03 16:32:35] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
